,description_x
2059,"When a wealthy patriarch unexpectedly drops dead, his money-crazed family, friends and staff scramble for his billionaire fortune."
2061,A career woman who has everything but romance finds her values challenged when she starts dating a good man she met on a Christian matchmaking site.
2062,"In the Smoky Mountains, an ambitious woman works to save her family's historic berry farm as her ex, a country music star, returns to town."
2067,"In moody London, a burned-out sleuth sinks into a world of corruption and murderous romance when he tackles a mysterious case of a missing sex worker."
2069,Overworked Michael Newman stumbles on a universal remote control that gives him the power to pause or fast-forward through scenes in his life.
2070,"Martin and Claudia, top-flight lawyers who happen to be former lovers, become targets when they're teamed up to defend a notorious terrorist."
2074,Low TV ratings drive a well-known journalist to concoct a plan to interview a notorious underworld figure who is also a suspected terrorist.
2078,"Lured to a majestic, remote villa by an old lover, an erotic novelist finds herself falling for a mysterious woman and descending into a moral abyss."
2080,"Following the death of his wife and daughter in a terrorist attack, an ex-Indian army commando agrees to infiltrate a terrorist cell."
2081,"Sentenced to death for committing rape, a convict navigates his final trying days alongside his allies and enemies in prison."
2084,"Maya finally hooks up with her online dream girl, only to discover she’s deeply involved with an older sugar daddy – a man Maya knows all too well."
2087,"Years after surviving a brutal crime as a child, Libby Day comes to believe that the brother she testified against for committing it may be innocent."
2090,A YouTuber becomes obsessed with figuring out how his copycat archnemesis manages to steal all of his ideas.
2093,"Finding a letter mailed to Santa by a girl asking for a new wife for her daddy, twentysomething Crystal sets out to make the girl's wishes come true."
2094,Two federal agents battle through an army of rioting prisoners – and their sense of reality – inside a high-tech prison modeled after Dante’s Inferno.
2095,Two federal agents battle through an army of rioting prisoners – and their sense of reality – inside a high-tech prison modeled after Dante’s Inferno.
2098,A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.
2099,A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.
2100,A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.
2101,A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.
2102,A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.
2103,A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.
2104,"In a severe, drought-ravaged dystopia, the youngest of a farm family starts a quest for revenge after his brothers betray him and leave him for dead."
2105,"Along with her son and best friend, a grieving widow hikes into the woods to scatter her late husband's ashes, only to discover they're being stalked."
2106,"Along with her son and best friend, a grieving widow hikes into the woods to scatter her late husband's ashes, only to discover they're being stalked."
2108,"Convinced his stepfather caused the crash that left his mother in a coma, a law student drunkenly agrees to his murder, then can't rescind the deal."
2109,"Seeking a missing woman in North Dakota, an FBI agent and a sheriff focus on her religious zealot husband but discover something far more sinister."
2111,"The sophisticated son of a powerful businessman falls for a simple, free-spirited girl whose older sister is in love with him."
2112,An intelligent but intense honor student traumatizes his high school teacher and mentor when he doesn't get the grade he believes he deserves.
